name,team,Pos,wRC,oWAR,offWAR,atBats,plateAppearances,hits,doubles,triples,homeRuns,walks,hitByPitch,sacFlies,sacBunts,intentionalWalks,strikeouts,doublePlays,steals,caughtStealing,runs,rbis,avg,obp,slg,ops,wOBA,wRAA,wSB,spd,ubr,PosAdj
김수인,Twins (KBO),2루,-145.8241613,-0.08344099,-0.08469099,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.996909902,0,0,0,0.00125
김도환,Lions (KBO),포수,-145.8241613,-0.07844099,-0.08469099,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.996909902,0,0,0,0.00625
이상혁,Eagles (KBO),지명,19.21279081,-0.127764765,-0.084014765,13,15,2,0,0,0,2,0,0,0,0,5,0,5,2,13,0,0.153846154,0.266666667,0.153846154,0.420512821,0.233076773,-1.638113364,-0.286304188,22.01535902,0.334269904,-0.04375
김세훈,Dinos (KBO),유격,-33.24932855,-0.062534897,-0.068784897,4,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0.2,0,0.2,0.158986084,-0.900627331,0.001654143,1.414285714,-0.038875781,0.00625
김동헌,Heroes (KBO),포수,112.2610983,0.053906544,0.039323211,5,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.2,0.428571429,0.2,0.628571429,0.364486128,0.11602124,0.004962429,1.414285714,-0.077751562,0.014583333
박영빈,Dinos (KBO),좌익,274.9832193,0.178455736,0.187205736,6,7,3,2,0,0,1,0,0,0,0,3,0,2,1,3,1,0.5,0.571428571,0.833333333,1.404761905,0.594293734,1.655787239,-0.243152094,8.949271061,0.109422217,-0.00875
송찬의,Twins (KBO),지명,-6.518043956,-0.233765692,-0.172515692,15,21,1,0,0,0,3,1,1,1,0,6,0,1,0,2,1,0.066666667,0.25,0.066666667,0.316666667,0.196737882,-3.023796543,0.208270715,6.311086463,0.040368906,-0.06125
박민준,Bears (KBO),포수,-145.8241613,-0.130734984,-0.14115165,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-1.661516503,0,0,0,0.010416667
노진혁,Giants (KBO),유격,50.81793775,-0.180081662,-0.376331662,137,157,30,6,0,2,14,1,2,2,1,39,1,0,0,13,13,0.218978102,0.296774194,0.306569343,0.603343537,0.277711781,-10.43798038,0.061203292,2.426190476,-1.236539534,0.19625
조형우,Landers (KBO),포수,68.44688818,0.110246441,0.031079774,33,38,8,0,0,0,1,4,0,0,0,6,0,0,0,4,4,0.242424242,0.342105263,0.242424242,0.584529506,0.302608623,-1.620824086,0.02150386,5.414285714,0.010117971,0.079166667
양우현,Lions (KBO),2루,-108.299217,-0.34891983,-0.35516983,13,15,0,0,0,0,1,0,0,1,0,6,1,0,0,0,1,0,0.071428571,0,0.071428571,0.052995361,-4.223660337,0.001654143,-2.667346939,-0.079692108,0.00625
이우성,Tigers (KBO),1루,100.1926617,1.128488923,2.059738923,398,447,115,16,1,9,43,3,3,0,0,88,17,7,1,55,54,0.288944724,0.360178971,0.40201005,0.762189021,0.347442234,0.116416102,0.97684893,3.378974753,-2.845875806,-0.93125
홍현빈,Wiz (KBO),우익,69.53196872,0.049002557,0.076502557,18,22,4,0,1,0,3,0,0,1,0,7,0,0,0,5,2,0.222222222,0.333333333,0.333333333,0.666666667,0.30414105,-0.906102153,0.009924858,13.31904762,0.561202867,-0.0275
박지환,Landers (KBO),2루,79.55163124,0.684993528,0.582493528,225,246,63,9,2,4,12,3,3,3,0,61,3,8,3,33,21,0.28,0.320987654,0.391111111,0.712098765,0.318291521,-6.799920955,-0.235170129,6.125431996,0.560026365,0.1025
김범준,Dinos (KBO),좌익,-145.8241613,-0.14740165,-0.14115165,5,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,-1.661516503,0,0,0,-0.00625
